                                                title  star_rating
0                            The Shawshank Redemption          9.3
1                                       The Godfather          9.2
2                              The Godfather: Part II          9.1
3                                     The Dark Knight          9.0
4                                        Pulp Fiction          8.9
5                                        12 Angry Men          8.9
6                      The Good, the Bad and the Ugly          8.9
7       The Lord of the Rings: The Return of the King          8.9
8                                    Schindler's List          8.9
9                                          Fight Club          8.9
10  The Lord of the Rings: The Fellowship of the Ring          8.8
11                                          Inception          8.8
12     Star Wars: Episode V - The Empire Strikes Back          8.8
13                                       Forrest Gump          8.8
14              The Lord of the Rings: The Two Towers          8.8
